"Timestamp","What is your gender?","What is your age? (Years)","What is your current year of study? ","Which is your school/Faculty?  ","Which course are you pursuing? ","What is your place of residence?","How far are you from campus? (Approximate KM)","How many times have you missed lectures","What was the possible reason for missing your lectures? (please tick all possible reasons)","If no, why do you think students miss lectures?","Are there some units you are likely to miss than others?","If yes, which kind of units?","If time is among the reason you can miss a lecture. Which part of the day are you likely to miss?","If mode of teaching can be the reason, which one is it?","Do you think introducing absenteeism policy will help?","What do you think can curb absenteeism?","What is your view about absenteeism?"
"2021/07/16 12:22:33 PM GMT+3","Male","28","Year 4","School of science","Applied statistics with computing","Non - Resident","1 - 2 KM","2","Time of the class;Weather condition","","Yes","Common Unit","Morning","","Agree","Good teacher student relationship","Its becoming rampant"
"2021/07/16 12:25:57 PM GMT+3","Male","24","Year 4","School of Science ","BSc. (Applied Statistics with Computing) ","Non - Resident","More than 3KM","0","","Due to distance to class, time of the lecture and mode of teaching ","Yes","Common Unit","Morning","Presence of handouts and soft copy notes ","Strongly Agree","",""
"2021/07/16 12:45:19 PM GMT+3","Male","24","Year 4","Science","Bsc Applied statistics ","Non - Resident","1-2","2","Distance to campus;Is it health problem","","Yes","Common Unit","Morning","","Neutral","Attendance of class awarding marks","It affects performance "
"2021/07/16 12:52:43 PM GMT+3","Male","24","Year 4","School of Science ","BSc. (Applied Statistics with Computing) ","Non - Resident","More than 2KM","0","","Distance covered, place of residence, schedule of the lecture, academic level ","Yes","Common Unit","Morning","Face to face teaching. ","Strongly Agree","Introducing absenteeism policy. ",""
"2021/07/16 1:04:40 PM GMT+3","Male","23","Year 4","Science","Applied Statistics with Computing","Non - Resident","More than 2KM","3","Time of the class","","Yes","Common Unit","Morning","","Agree","",""
"2021/07/16 1:04:51 PM GMT+3","Male","27","Year 4","Science","Applied statistics","Resident","Less than 1 KM","4","Weather condition","","Yes","Common Unit","Morning","","Strongly Disagree","More reasonable class time",""
"2021/07/16 1:06:06 PM GMT+3","Male","21","Year 4","School of science","Aplied statistics with computing","Non - Resident","1-2","Often","Time of the class","Laziness","Yes","Common Unit","Morning","Boring lecturer","Agree","Register marking","Laziness"
"2021/07/16 1:06:15 PM GMT+3","Male","22","Year 4","Science","Applied statistics","Non - Resident","More than 2KM","5","Is it health problem","","Yes","Common Unit","Evening","","Disagree","",""
"2021/07/16 1:07:04 PM GMT+3","Female","23","Year 4","Science","Applied Statistics with computing","Non - Resident","More than 2KM","10","Is it health problem","","Yes","Common Unit","Evening","","Disagree","",""
"2021/07/16 1:09:39 PM GMT+3","Male","22","Year 4","Science","Bachelor of science","Non - Resident","More than 2KM","12","Is it health problem","","No","","","","Neutral","
Rules and policy on risk  of absenteeism","Affect performance "
"2021/07/16 1:13:03 PM GMT+3","Male","23","Year 4","UOE","Applied statistics with computing","Non - Resident","Less than 1 KM","4","Weather condition","","Yes","Common Unit","Morning","","Strongly Agree","",""
"2021/07/16 1:14:47 PM GMT+3","Male","26","Year 4","Science","Applied Statistics with Computing","Non - Resident","Less than 1 KM","Once","Mode of teaching of the lecturer","","No","","Evening","Online teaching","Neutral","","Assignments"
"2021/07/16 1:17:30 PM GMT+3","Male","23","Year 4","Science","Applied Statistics with Computing","Non - Resident","More than 2KM","4","Weather condition","","Yes","Common Unit","Morning","Audibility of the lecturer","Agree","Policies to be implemented",""
"2021/07/16 1:42:24 PM GMT+3","Male","23","Year 4","Science","ACS","Non - Resident","1-2","5","Weather condition","","No","","Evening","","Agree","Adjust lecture hours","It's due to laziness"
"2021/07/16 2:04:59 PM GMT+3","Male","21","Year 2","School of science ","Applied statistics with computing ","Resident","More than 2KM","2","Is it health problem","Financial issues ","Yes","Related Unit","Evening","Online ","Neutral","Providing resistance ","Forced curcumstances"
"2021/07/16 2:17:04 PM GMT+3","Male","21","Year 3","Science","Applied statistics with computing","Non - Resident","1-2","4","Distance to campus;Time of the class;Mode of teaching of the lecturer;Weather condition","","Yes","Common Unit","Morning","","Neutral","",""
"2021/07/16 2:23:21 PM GMT+3","Female","21","Year 3","Economics","Economics","Non - Resident","1-2","3","Time of the class;Weather condition","Commitments elsewhere","Yes","Common Unit","Morning","","Strongly Agree","",""
"2021/07/16 3:15:38 PM GMT+3","Male","22","Year 4","Tom mboya University college","Bachelor of  education arts with iT","Non - Resident","1-2","1","Weather condition","Time of class","No","Common Unit","Morning","","Strongly Agree","Employment absenteeism policies ","For deduction of Marks on final examination "
"2021/07/16 3:18:54 PM GMT+3","Male","23","Year 3","School of science ","Applied statistics with computing ","Non - Resident","1-2","1","Weather condition","Bad weather ","Yes","Common Unit","Morning","Not the one","Strongly Disagree","Making a rule that no exam after missing class ","It is about laziness "
"2021/07/16 3:19:18 PM GMT+3","Female","21","Year 3","Science","Applied statistics with computing","Non - Resident","Less than 1 KM","I have never missed","","Distance ","Yes","Common Unit","Morning","","Neutral","Lecturers to be strict on attendance","Null"
